customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_imputed,purchases_per_year,dataset_block,spend_x_frequency,high_value_flag,low_value_flag,high_repeat_flag,low_repeat_flag,promo_dependency_score,promo_flag,satisfaction_flag,high_satisfaction,low_satisfaction,age_band,loyalty_score_A,loyalty_score_B,loyalty_tier_A,loyalty_tier_B,premium_shipping,digital_payment,category_code,segment_code,segment_label
30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,Weekly,0,52,promo_block,2496.0,0,0,0,0,1.0,1,1,0,0,Young Adult (25-34),0.707591836734694,0.2848265306122449,High,Low,0,1,1,S2,Promo-Dependent Buyers
31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,1,Standard,1,1,16,Credit Card,Monthly,0,12,promo_block,372.0,0,1,0,0,1.0,1,1,1,0,Senior (50-70),0.5717583033213286,0.2566556122448979,High,Low,0,1,0,S2,Promo-Dependent Buyers
32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,1,1,45,Venmo,Monthly,0,12,promo_block,948.0,0,0,1,0,1.0,1,1,1,0,Young Adult (25-34),0.7493093237294919,0.6146147959183673,High,High,0,1,1,S0,General Buyers
33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,1,Free Shipping,1,1,37,Venmo,Annually,0,1,promo_block,67.0,0,0,0,0,1.0,1,1,1,0,Mid-Age (35-49),0.6624081632653062,0.5332984693877552,High,Medium,0,1,3,S0,General Buyers
34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,1,Store Pickup,1,1,45,Cash,Quarterly,0,4,promo_block,152.0,0,1,1,0,1.0,1,0,0,0,Senior (50-70),0.5980936374549819,0.3512397959183673,High,Low,0,0,1,S0,General Buyers
35,36,Male,T-Shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,1,1,38,Paypal,Quarterly,0,4,promo_block,364.0,1,0,1,0,1.0,1,1,1,0,Mid-Age (35-49),0.6592364945978391,0.6254005102040816,High,High,1,1,1,S4,Promo-Habituated Spenders
36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48,Credit Card,Bi-Weekly,0,26,promo_block,858.0,0,1,1,0,1.0,1,1,0,0,Senior (50-70),0.7803041216486594,0.3866709183673469,High,Low,1,1,1,S0,General Buyers
37,35,Male,T-Shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,1,1,44,Paypal,Fortnightly,0,26,promo_block,1794.0,0,0,1,0,1.0,1,1,1,0,Mid-Age (35-49),0.8038143257302921,0.5597627551020408,High,Medium,0,1,1,S0,General Buyers
38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,1,1,10,Paypal,Weekly,0,52,promo_block,2340.0,0,0,0,1,1.0,1,0,0,1,Mid-Age (35-49),0.5791020408163265,0.1732933673469387,High,Low,0,1,1,S2,Promo-Dependent Buyers
39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.8,1,2-Day Shipping,1,1,44,Venmo,Every 3 Months,1,4,promo_block,148.0,0,1,1,0,1.0,1,0,0,0,Young Adult (25-34),0.6319711884753901,0.3717627551020408,High,Low,1,1,1,S0,General Buyers
40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,1,Express,1,1,18,Credit Card,Monthly,0,12,promo_block,720.0,0,0,0,0,1.0,1,1,0,0,Senior (50-70),0.5440032012805123,0.363734693877551,High,Low,1,1,1,S0,General Buyers
41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,Quarterly,0,4,promo_block,304.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.6163793517406962,0.5240612244897959,High,Medium,1,1,0,S0,General Buyers
42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,1,Standard,1,1,40,Venmo,Annually,0,1,promo_block,39.0,0,1,1,0,1.0,1,1,1,0,Senior (50-70),0.6487755102040816,0.4021045918367347,High,Low,0,1,0,S0,General Buyers
43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,1,1,15,Paypal,Annually,0,1,promo_block,100.0,1,0,0,0,1.0,1,1,0,0,Teen (18-24),0.4637142857142856,0.5174285714285713,High,Medium,0,1,3,S4,Promo-Habituated Spenders
44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,1,1,19,Paypal,Fortnightly,0,26,promo_block,1794.0,0,0,0,0,1.0,1,0,0,0,Young Adult (25-34),0.5787531012404963,0.3782117346938776,High,Low,0,1,0,S0,General Buyers
45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,1,1,45,Paypal,Weekly,0,52,promo_block,2756.0,0,0,1,0,1.0,1,1,1,0,Mid-Age (35-49),0.9373877551020408,0.4948647959183673,High,Medium,0,1,0,S0,General Buyers
46,50,Male,Socks,Clothing,21.0,Tennessee,Xl,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25,Paypal,Annually,0,1,promo_block,21.0,0,1,0,0,1.0,1,0,0,1,Senior (50-70),0.428938775510204,0.1508239795918367,Medium,Low,1,1,1,S0,General Buyers
47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,1,Store Pickup,1,1,45,Cash,Quarterly,0,4,promo_block,172.0,0,0,1,0,1.0,1,0,0,1,Senior (50-70),0.566093637454982,0.3491147959183673,High,Low,0,0,1,S0,General Buyers
48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,1,1,36,Cash,Weekly,0,52,promo_block,2808.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.8742857142857143,0.4473214285714285,High,Medium,0,0,0,S0,General Buyers
49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,1,Store Pickup,1,1,38,Cash,Monthly,0,12,promo_block,660.0,0,0,1,0,1.0,1,0,0,1,Mid-Age (35-49),0.5464521808723489,0.3539005102040816,High,Low,0,0,1,S0,General Buyers
50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,Bi-Weekly,0,26,promo_block,780.0,0,1,0,0,1.0,1,1,1,0,Senior (50-70),0.7425898359343737,0.3381173469387755,High,Low,1,1,1,S0,General Buyers
51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.8,1,Store Pickup,1,1,39,Debit Card,Bi-Weekly,1,26,promo_block,728.0,0,1,1,0,1.0,1,0,0,0,Mid-Age (35-49),0.7092020808323329,0.3068775510204081,High,Low,0,1,1,S0,General Buyers
52,59,Male,Skirt,Clothing,59.0,Vermont,Xl,Gray,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,Quarterly,0,4,promo_block,236.0,0,0,0,1,1.0,1,1,1,0,Senior (50-70),0.4774405762304922,0.3332372448979592,High,Low,1,1,1,S2,Promo-Dependent Buyers
53,42,Male,T-Shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,Weekly,0,52,promo_block,1040.0,0,1,0,0,1.0,1,0,0,1,Mid-Age (35-49),0.661061224489796,0.1335510204081632,High,Low,0,1,1,S0,General Buyers
54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,Weekly,0,52,promo_block,1248.0,0,1,0,0,1.0,1,0,0,0,Young Adult (25-34),0.8201632653061225,0.274969387755102,High,Low,1,1,1,S0,General Buyers
55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,Bi-Weekly,0,26,promo_block,2444.0,1,0,0,0,1.0,1,1,0,0,Mid-Age (35-49),0.7167122849139655,0.599219387755102,High,High,1,1,3,S4,Promo-Habituated Spenders
56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49,Credit Card,Annually,0,1,promo_block,28.0,0,1,1,0,1.0,1,0,0,0,Mid-Age (35-49),0.5838775510204082,0.3098979591836734,High,Low,1,1,3,S0,General Buyers
57,41,Male,Backpack,Accessories,73.0,Mississippi,Xl,Brown,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,Weekly,0,52,promo_block,3796.0,0,0,1,0,1.0,1,1,1,0,Mid-Age (35-49),0.9515102040816328,0.5934668367346938,High,Medium,0,1,0,S0,General Buyers
58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,Fortnightly,0,26,promo_block,1664.0,0,0,0,0,1.0,1,1,0,0,Teen (18-24),0.6225082032813125,0.3881326530612244,High,Low,0,1,3,S0,General Buyers
59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,1,1,29,Venmo,Monthly,0,12,promo_block,648.0,0,0,0,0,1.0,1,1,0,0,Senior (50-70),0.6113501400560224,0.3936071428571428,High,Low,0,1,1,S0,General Buyers
60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,1,Standard,1,1,4,Debit Card,Weekly,0,52,promo_block,4108.0,0,0,0,1,1.0,1,1,1,0,Senior (50-70),0.6863673469387754,0.3994311224489796,High,Low,0,1,0,S0,General Buyers
61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,1,Express,1,1,17,Cash,Weekly,0,52,promo_block,1924.0,0,1,0,0,1.0,1,1,0,0,Senior (50-70),0.7179591836734694,0.2460076530612245,High,Low,1,0,1,S2,Promo-Dependent Buyers
62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,Every 3 Months,0,4,promo_block,272.0,0,0,0,0,1.0,1,1,1,0,Senior (50-70),0.5631548619447779,0.4440408163265306,High,Medium,0,1,0,S0,General Buyers
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,Fortnightly,0,26,promo_block,546.0,0,1,0,0,1.0,1,0,0,0,Young Adult (25-34),0.6602224889955982,0.2354362244897959,High,Low,0,1,2,S0,General Buyers
64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,Weekly,0,52,promo_block,4108.0,0,0,1,0,1.0,1,0,0,1,Young Adult (25-34),0.7731428571428571,0.4844107142857142,High,Medium,1,1,0,S0,General Buyers
65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,1,Standard,1,1,18,Debit Card,Fortnightly,0,26,promo_block,2158.0,1,0,0,0,1.0,1,1,1,0,Senior (50-70),0.6606306522609044,0.500359693877551,High,Medium,0,1,2,S4,Promo-Habituated Spenders
66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,Every 3 Months,0,4,promo_block,144.0,0,1,1,0,1.0,1,1,1,0,Senior (50-70),0.7119711884753901,0.4273877551020407,High,Low,1,1,0,S0,General Buyers
67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,Every 3 Months,0,4,promo_block,376.0,1,0,0,1,1.0,1,1,1,0,Young Adult (25-34),0.4529507803121249,0.465954081632653,Medium,Medium,1,1,1,S4,Promo-Habituated Spenders
68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,Monthly,0,12,promo_block,396.0,0,1,1,0,1.0,1,1,0,0,Mid-Age (35-49),0.7497991196478592,0.4157729591836735,High,Low,0,1,3,S0,General Buyers
69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,1,Next Day Air,1,1,21,Cash,Every 3 Months,0,4,promo_block,184.0,0,0,0,0,1.0,1,0,0,0,Senior (50-70),0.4991548619447779,0.2997908163265306,High,Low,1,0,0,S2,Promo-Dependent Buyers
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,1,Express,1,1,5,Cash,Weekly,0,52,promo_block,3640.0,0,0,0,1,1.0,1,1,0,0,Mid-Age (35-49),0.6764897959183674,0.3531581632653061,High,Low,1,0,0,S0,General Buyers
71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,1,Express,1,1,32,Debit Card,Every 3 Months,0,4,promo_block,116.0,0,1,0,0,1.0,1,1,0,0,Teen (18-24),0.5905018007202881,0.2995382653061225,High,Low,1,1,0,S0,General Buyers
72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,1,Express,1,1,34,Bank Transfer,Annually,0,1,promo_block,48.0,0,0,0,0,1.0,1,0,0,1,Mid-Age (35-49),0.4840408163265305,0.3148673469387755,High,Low,1,0,1,S0,General Buyers
73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,Every 3 Months,0,4,promo_block,104.0,0,1,0,0,1.0,1,0,0,1,Teen (18-24),0.4191548619447779,0.1522908163265306,Medium,Low,0,0,1,S2,Promo-Dependent Buyers
74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,Bi-Weekly,0,26,promo_block,2210.0,1,0,1,0,1.0,1,0,0,1,Mid-Age (35-49),0.6456918767507003,0.5106607142857142,High,Medium,0,0,1,S4,Promo-Habituated Spenders
75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,1,Express,1,1,3,Cash,Monthly,0,12,promo_block,696.0,0,0,0,1,1.0,1,1,1,0,Mid-Age (35-49),0.4761664665866346,0.2964540816326531,High,Low,1,0,0,S2,Promo-Dependent Buyers
76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,Annually,0,1,promo_block,85.0,1,0,0,0,1.0,1,0,0,1,Senior (50-70),0.3884489795918368,0.3984158163265306,Medium,Low,0,1,0,S4,Promo-Habituated Spenders
77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,1,Free Shipping,1,1,32,Venmo,Monthly,0,12,promo_block,516.0,0,0,0,0,1.0,1,1,0,0,Senior (50-70),0.6297174869947979,0.3607882653061224,High,Low,0,1,0,S0,General Buyers
78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,Fortnightly,0,26,promo_block,1378.0,0,0,0,0,1.0,1,0,0,0,Teen (18-24),0.6508347338935574,0.3709464285714285,High,Low,1,1,1,S0,General Buyers
79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,1,1,50,Venmo,Fortnightly,0,26,promo_block,2366.0,1,0,1,0,1.0,1,1,1,0,Senior (50-70),0.8485490196078432,0.6926249999999999,High,High,0,1,1,S4,Promo-Habituated Spenders
80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,Every 3 Months,0,4,promo_block,384.0,1,0,1,0,1.0,1,0,0,1,Mid-Age (35-49),0.5298487394957982,0.5527857142857142,High,Medium,1,0,3,S4,Promo-Habituated Spenders
81,19,Male,Sandals,Footwear,72.0,New York,Xl,Blue,Summer,3.8,1,Store Pickup,1,1,24,Credit Card,Every 3 Months,1,4,promo_block,288.0,0,0,0,0,1.0,1,0,0,0,Teen (18-24),0.5095222088835534,0.4228469387755101,High,Low,0,1,2,S0,General Buyers
82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,1,Express,1,1,36,Credit Card,Every 3 Months,0,4,promo_block,384.0,1,0,0,0,1.0,1,0,0,1,Senior (50-70),0.4869915966386555,0.5170714285714285,High,Medium,1,1,2,S4,Promo-Habituated Spenders
83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,1,2-Day Shipping,1,1,21,Credit Card,Every 3 Months,0,4,promo_block,112.0,0,1,0,0,1.0,1,1,0,0,Teen (18-24),0.5071548619447779,0.2270408163265306,High,Low,1,1,1,S2,Promo-Dependent Buyers
84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,1,Standard,1,1,34,Bank Transfer,Weekly,0,52,promo_block,2080.0,0,0,0,0,1.0,1,1,0,0,Mid-Age (35-49),0.8300408163265306,0.3518673469387754,High,Low,0,0,1,S0,General Buyers
85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,1,Standard,1,1,42,Bank Transfer,Every 3 Months,0,4,promo_block,128.0,0,1,1,0,1.0,1,1,0,0,Senior (50-70),0.6677262905162065,0.3756836734693878,High,Low,0,0,3,S0,General Buyers
86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,Bi-Weekly,0,26,promo_block,2470.0,1,0,0,1,1.0,1,1,1,0,Senior (50-70),0.538671468587435,0.4532270408163265,High,Medium,1,1,0,S4,Promo-Habituated Spenders
87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,Bi-Weekly,0,26,promo_block,1066.0,0,0,1,0,1.0,1,0,0,0,Teen (18-24),0.7501816726690678,0.3985688775510204,High,Low,1,0,1,S0,General Buyers
88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,Fortnightly,0,26,promo_block,1378.0,0,0,1,0,1.0,1,0,0,0,Senior (50-70),0.7318143257302923,0.4357627551020408,High,Medium,1,1,2,S0,General Buyers
89,33,Male,T-Shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,Monthly,0,12,promo_block,564.0,0,0,0,0,1.0,1,0,0,0,Young Adult (25-34),0.5920848339335734,0.351594387755102,High,Low,0,1,1,S0,General Buyers
