customer_id,age,age_band,gender,category,season,location,purchase_amount,previous_purchases,purchases_per_year,spend_x_frequency,review_rating,subscription_status,discount_applied,promo_code_used,promo_dependency_score,promo_flag,satisfaction_flag,high_satisfaction,loyalty_score_A,loyalty_score_B,loyalty_tier_A,loyalty_tier_B,high_value_flag,high_repeat_flag,segment_code,segment_label,shipping_type,payment_method,premium_shipping,digital_payment
18,53,Senior (50-70),Male,Clothing,Winter,Mississippi,38.0,36,4,152.0,4.7,1,1,1,1.0,1,1,1,0.6549915966386555,0.3893214285714286,High,Low,0,0,S0,General Buyers,2-Day Shipping,Venmo,1,1
19,52,Senior (50-70),Male,Clothing,Summer,Montana,48.0,17,52,2496.0,4.6,1,1,1,1.0,1,1,1,0.7659591836734694,0.3301326530612244,High,Low,0,0,S2,Promo-Dependent Buyers,Free Shipping,Cash,0,0
20,66,Senior (50-70),Male,Clothing,Summer,Rhode Island,90.0,46,26,2340.0,3.3,1,1,1,1.0,1,0,0,0.7120592236894757,0.5838418367346939,High,Medium,1,1,S4,Promo-Habituated Spenders,Standard,Debit Card,0,1
21,21,Teen (18-24),Male,Clothing,Winter,Louisiana,51.0,50,4,204.0,2.8,1,1,1,1.0,1,0,0,0.5887058823529412,0.403625,High,Low,0,1,S0,General Buyers,Express,Cash,1,0
22,31,Young Adult (25-34),Male,Clothing,Winter,North Carolina,62.0,22,4,248.0,4.1,1,1,1,1.0,1,1,0,0.5212773109243697,0.3868928571428571,High,Low,0,0,S0,General Buyers,Store Pickup,Debit Card,0,1
23,56,Senior (50-70),Male,Clothing,Summer,California,37.0,32,1,37.0,3.2,1,1,1,1.0,1,0,0,0.4957959183673469,0.2745382653061224,High,Low,0,0,S0,General Buyers,Store Pickup,Debit Card,0,1
24,31,Young Adult (25-34),Male,Clothing,Winter,Oklahoma,88.0,40,52,4576.0,4.4,1,1,1,1.0,1,1,0,0.8907755102040816,0.6104795918367347,High,High,1,1,S4,Promo-Habituated Spenders,Express,Credit Card,1,1
25,18,Teen (18-24),Male,Outerwear,Fall,Florida,22.0,16,52,1144.0,2.9,1,1,1,1.0,1,0,0,0.6238367346938776,0.1092806122448979,High,Low,0,0,S2,Promo-Dependent Buyers,Store Pickup,Debit Card,0,1
26,18,Teen (18-24),Male,Clothing,Summer,Texas,25.0,14,1,25.0,3.6,1,1,1,1.0,1,0,0,0.4175918367346939,0.1542015306122449,Medium,Low,0,0,S2,Promo-Dependent Buyers,Express,Paypal,1,1
27,38,Mid-Age (35-49),Male,Accessories,Spring,Nevada,20.0,13,1,20.0,3.6,1,1,1,1.0,1,0,0,0.411469387755102,0.1272244897959183,Medium,Low,0,0,S2,Promo-Dependent Buyers,Next Day Air,Credit Card,1,1
28,56,Senior (50-70),Male,Clothing,Summer,Kentucky,56.0,7,4,224.0,5.0,1,1,1,1.0,1,1,1,0.5014405762304922,0.3381122448979592,High,Low,0,0,S2,Promo-Dependent Buyers,Next Day Air,Bank Transfer,1,0
29,54,Senior (50-70),Male,Accessories,Fall,North Carolina,94.0,41,4,376.0,4.4,1,1,1,1.0,1,1,0,0.6616038415366147,0.6418316326530612,High,High,1,1,S4,Promo-Habituated Spenders,Free Shipping,Paypal,0,1
30,31,Young Adult (25-34),Male,Clothing,Fall,Wyoming,48.0,14,52,2496.0,4.1,1,1,1,1.0,1,1,0,0.707591836734694,0.2848265306122449,High,Low,0,0,S2,Promo-Dependent Buyers,Store Pickup,Credit Card,0,1
31,57,Senior (50-70),Male,Accessories,Winter,North Carolina,31.0,16,12,372.0,4.7,1,1,1,1.0,1,1,1,0.5717583033213286,0.2566556122448979,High,Low,0,0,S2,Promo-Dependent Buyers,Standard,Credit Card,0,1
32,33,Young Adult (25-34),Male,Clothing,Winter,West Virginia,79.0,45,12,948.0,4.7,1,1,1,1.0,1,1,1,0.7493093237294919,0.6146147959183673,High,High,0,1,S0,General Buyers,Store Pickup,Venmo,0,1
33,36,Mid-Age (35-49),Male,Outerwear,Summer,Kansas,67.0,37,1,67.0,4.9,1,1,1,1.0,1,1,1,0.6624081632653062,0.5332984693877552,High,Medium,0,0,S0,General Buyers,Free Shipping,Venmo,0,1
34,54,Senior (50-70),Male,Clothing,Summer,Colorado,38.0,45,4,152.0,3.3,1,1,1,1.0,1,0,0,0.5980936374549819,0.3512397959183673,High,Low,0,1,S0,General Buyers,Store Pickup,Cash,0,0
35,36,Mid-Age (35-49),Male,Clothing,Spring,North Dakota,91.0,38,4,364.0,4.6,1,1,1,1.0,1,1,1,0.6592364945978391,0.6254005102040816,High,High,1,1,S4,Promo-Habituated Spenders,2-Day Shipping,Paypal,1,1
36,54,Senior (50-70),Male,Clothing,Summer,Massachusetts,33.0,48,26,858.0,4.0,1,1,1,1.0,1,1,0,0.7803041216486594,0.3866709183673469,High,Low,0,1,S0,General Buyers,2-Day Shipping,Credit Card,1,1
37,35,Mid-Age (35-49),Male,Clothing,Winter,Illinois,69.0,44,26,1794.0,4.6,1,1,1,1.0,1,1,1,0.8038143257302921,0.5597627551020408,High,Medium,0,1,S0,General Buyers,Free Shipping,Paypal,0,1
38,35,Mid-Age (35-49),Male,Clothing,Summer,Indiana,45.0,10,52,2340.0,2.8,1,1,1,1.0,1,0,0,0.5791020408163265,0.1732933673469387,High,Low,0,0,S2,Promo-Dependent Buyers,Store Pickup,Paypal,0,1
39,29,Young Adult (25-34),Male,Clothing,Winter,Florida,37.0,44,4,148.0,3.8,1,1,1,1.0,1,0,0,0.6319711884753901,0.3717627551020408,High,Low,0,1,S0,General Buyers,2-Day Shipping,Venmo,1,1
40,70,Senior (50-70),Male,Clothing,Summer,Arizona,60.0,18,12,720.0,4.2,1,1,1,1.0,1,1,0,0.5440032012805123,0.363734693877551,High,Low,0,0,S0,General Buyers,Express,Credit Card,1,1
41,69,Senior (50-70),Male,Accessories,Winter,Louisiana,76.0,31,4,304.0,4.6,1,1,1,1.0,1,1,1,0.6163793517406962,0.5240612244897959,High,Medium,0,0,S0,General Buyers,Next Day Air,Debit Card,1,1
42,67,Senior (50-70),Male,Accessories,Spring,Alaska,39.0,40,1,39.0,4.5,1,1,1,1.0,1,1,1,0.6487755102040816,0.4021045918367347,High,Low,0,1,S0,General Buyers,Standard,Venmo,0,1
43,20,Teen (18-24),Male,Outerwear,Spring,Tennessee,100.0,15,1,100.0,4.1,1,1,1,1.0,1,1,0,0.4637142857142856,0.5174285714285713,High,Medium,1,0,S4,Promo-Habituated Spenders,Free Shipping,Paypal,0,1
44,25,Young Adult (25-34),Male,Accessories,Fall,Ohio,69.0,19,26,1794.0,3.7,1,1,1,1.0,1,0,0,0.5787531012404963,0.3782117346938776,High,Low,0,0,S0,General Buyers,Store Pickup,Paypal,0,1
45,39,Mid-Age (35-49),Male,Accessories,Summer,Kentucky,53.0,45,52,2756.0,4.6,1,1,1,1.0,1,1,1,0.9373877551020408,0.4948647959183673,High,Medium,0,1,S0,General Buyers,Free Shipping,Paypal,0,1
46,50,Senior (50-70),Male,Clothing,Fall,Tennessee,21.0,25,1,21.0,2.9,1,1,1,1.0,1,0,0,0.428938775510204,0.1508239795918367,Medium,Low,0,0,S0,General Buyers,2-Day Shipping,Paypal,1,1
47,57,Senior (50-70),Male,Clothing,Summer,California,43.0,45,4,172.0,2.9,1,1,1,1.0,1,0,0,0.566093637454982,0.3491147959183673,High,Low,0,1,S0,General Buyers,Store Pickup,Cash,0,0
48,55,Senior (50-70),Male,Accessories,Winter,Montana,54.0,36,52,2808.0,4.5,1,1,1,1.0,1,1,1,0.8742857142857143,0.4473214285714285,High,Medium,0,0,S0,General Buyers,Free Shipping,Cash,0,0
49,42,Mid-Age (35-49),Male,Clothing,Summer,Nevada,55.0,38,12,660.0,2.7,1,1,1,1.0,1,0,0,0.5464521808723489,0.3539005102040816,High,Low,0,1,S0,General Buyers,Store Pickup,Cash,0,0
50,68,Senior (50-70),Male,Clothing,Spring,New Jersey,30.0,34,26,780.0,4.6,1,1,1,1.0,1,1,1,0.7425898359343737,0.3381173469387755,High,Low,0,0,S0,General Buyers,Next Day Air,Debit Card,1,1
51,49,Mid-Age (35-49),Male,Clothing,Spring,Maryland,28.0,39,26,728.0,3.8,1,1,1,1.0,1,0,0,0.7092020808323329,0.3068775510204081,High,Low,0,1,S0,General Buyers,Store Pickup,Debit Card,0,1
52,59,Senior (50-70),Male,Clothing,Winter,Vermont,59.0,7,4,236.0,4.7,1,1,1,1.0,1,1,1,0.4774405762304922,0.3332372448979592,High,Low,0,0,S2,Promo-Dependent Buyers,2-Day Shipping,Credit Card,1,1
53,42,Mid-Age (35-49),Male,Clothing,Summer,Alaska,20.0,26,52,1040.0,2.6,1,1,1,1.0,1,0,0,0.661061224489796,0.1335510204081632,High,Low,0,0,S0,General Buyers,Free Shipping,Credit Card,0,1
54,29,Young Adult (25-34),Male,Clothing,Winter,Mississippi,24.0,35,52,1248.0,3.9,1,1,1,1.0,1,0,0,0.8201632653061225,0.274969387755102,High,Low,0,0,S0,General Buyers,Next Day Air,Credit Card,1,1
55,47,Mid-Age (35-49),Male,Outerwear,Summer,New Mexico,94.0,35,26,2444.0,4.2,1,1,1,1.0,1,1,0,0.7167122849139655,0.599219387755102,High,High,1,0,S4,Promo-Habituated Spenders,Next Day Air,Debit Card,1,1
56,40,Mid-Age (35-49),Male,Outerwear,Winter,South Carolina,28.0,49,1,28.0,3.0,1,1,1,1.0,1,0,0,0.5838775510204082,0.3098979591836734,High,Low,0,1,S0,General Buyers,2-Day Shipping,Credit Card,1,1
57,41,Mid-Age (35-49),Male,Accessories,Summer,Mississippi,73.0,46,52,3796.0,4.7,1,1,1,1.0,1,1,1,0.9515102040816328,0.5934668367346938,High,Medium,0,1,S0,General Buyers,Store Pickup,Credit Card,0,1
58,21,Teen (18-24),Male,Outerwear,Summer,West Virginia,64.0,17,26,1664.0,4.4,1,1,1,1.0,1,1,0,0.6225082032813125,0.3881326530612244,High,Low,0,0,S0,General Buyers,Store Pickup,Debit Card,0,1
59,69,Senior (50-70),Male,Clothing,Summer,Missouri,54.0,29,12,648.0,4.2,1,1,1,1.0,1,1,0,0.6113501400560224,0.3936071428571428,High,Low,0,0,S0,General Buyers,Free Shipping,Venmo,0,1
60,63,Senior (50-70),Male,Accessories,Spring,Louisiana,79.0,4,52,4108.0,4.6,1,1,1,1.0,1,1,1,0.6863673469387754,0.3994311224489796,High,Low,0,0,S0,General Buyers,Standard,Debit Card,0,1
61,50,Senior (50-70),Male,Clothing,Summer,Idaho,37.0,17,52,1924.0,4.0,1,1,1,1.0,1,1,0,0.7179591836734694,0.2460076530612245,High,Low,0,0,S2,Promo-Dependent Buyers,Express,Cash,1,0
62,55,Senior (50-70),Male,Accessories,Winter,Texas,68.0,21,4,272.0,4.7,1,1,1,1.0,1,1,1,0.5631548619447779,0.4440408163265306,High,Medium,0,0,S0,General Buyers,Store Pickup,Credit Card,0,1
63,30,Young Adult (25-34),Male,Footwear,Spring,Mississippi,21.0,31,26,546.0,3.8,1,1,1,1.0,1,0,0,0.6602224889955982,0.2354362244897959,High,Low,0,0,S0,General Buyers,Free Shipping,Credit Card,0,1
64,33,Young Adult (25-34),Male,Accessories,Winter,Arizona,79.0,43,52,4108.0,2.7,1,1,1,1.0,1,0,0,0.7731428571428571,0.4844107142857142,High,Medium,0,1,S0,General Buyers,2-Day Shipping,Credit Card,1,1
65,65,Senior (50-70),Male,Footwear,Fall,Alabama,83.0,18,26,2158.0,4.8,1,1,1,1.0,1,1,1,0.6606306522609044,0.500359693877551,High,Medium,1,0,S4,Promo-Habituated Spenders,Standard,Debit Card,0,1
66,65,Senior (50-70),Male,Accessories,Spring,New Jersey,36.0,44,4,144.0,4.8,1,1,1,1.0,1,1,1,0.7119711884753901,0.4273877551020407,High,Low,0,1,S0,General Buyers,2-Day Shipping,Venmo,1,1
67,31,Young Adult (25-34),Male,Clothing,Winter,Pennsylvania,94.0,3,4,376.0,4.7,1,1,1,1.0,1,1,1,0.4529507803121249,0.465954081632653,Medium,Medium,1,0,S4,Promo-Habituated Spenders,2-Day Shipping,Venmo,1,1
68,45,Mid-Age (35-49),Male,Outerwear,Winter,Connecticut,33.0,49,12,396.0,4.4,1,1,1,1.0,1,1,0,0.7497991196478592,0.4157729591836735,High,Low,0,1,S0,General Buyers,Store Pickup,Debit Card,0,1
69,57,Senior (50-70),Male,Accessories,Summer,Utah,46.0,21,4,184.0,3.9,1,1,1,1.0,1,0,0,0.4991548619447779,0.2997908163265306,High,Low,0,0,S2,Promo-Dependent Buyers,Next Day Air,Cash,1,0
70,48,Mid-Age (35-49),Male,Accessories,Summer,Tennessee,70.0,5,52,3640.0,4.4,1,1,1,1.0,1,1,0,0.6764897959183674,0.3531581632653061,High,Low,0,0,S0,General Buyers,Express,Cash,1,0
71,22,Teen (18-24),Male,Accessories,Fall,Alabama,29.0,32,4,116.0,4.2,1,1,1,1.0,1,1,0,0.5905018007202881,0.2995382653061225,High,Low,0,0,S0,General Buyers,Express,Debit Card,1,1
72,36,Mid-Age (35-49),Male,Clothing,Summer,Virginia,48.0,34,1,48.0,2.9,1,1,1,1.0,1,0,0,0.4840408163265305,0.3148673469387755,High,Low,0,0,S0,General Buyers,Express,Bank Transfer,1,0
73,18,Teen (18-24),Male,Clothing,Winter,Georgia,26.0,21,4,104.0,2.9,1,1,1,1.0,1,0,0,0.4191548619447779,0.1522908163265306,Medium,Low,0,0,S2,Promo-Dependent Buyers,Store Pickup,Bank Transfer,0,0
74,48,Mid-Age (35-49),Male,Clothing,Spring,Hawaii,85.0,43,26,2210.0,2.7,1,1,1,1.0,1,0,0,0.6456918767507003,0.5106607142857142,High,Medium,1,1,S4,Promo-Habituated Spenders,Free Shipping,Bank Transfer,0,0
75,49,Mid-Age (35-49),Male,Accessories,Spring,Indiana,58.0,3,12,696.0,4.5,1,1,1,1.0,1,1,1,0.4761664665866346,0.2964540816326531,High,Low,0,0,S2,Promo-Dependent Buyers,Express,Cash,1,0
76,64,Senior (50-70),Male,Accessories,Summer,Utah,85.0,21,1,85.0,2.7,1,1,1,1.0,1,0,0,0.3884489795918368,0.3984158163265306,Medium,Low,1,0,S4,Promo-Habituated Spenders,Free Shipping,Credit Card,0,1
77,50,Senior (50-70),Male,Accessories,Summer,Delaware,43.0,32,12,516.0,4.2,1,1,1,1.0,1,1,0,0.6297174869947979,0.3607882653061224,High,Low,0,0,S0,General Buyers,Free Shipping,Venmo,0,1
78,22,Teen (18-24),Male,Clothing,Summer,Delaware,53.0,36,26,1378.0,3.3,1,1,1,1.0,1,0,0,0.6508347338935574,0.3709464285714285,High,Low,0,0,S0,General Buyers,Next Day Air,Debit Card,1,1
79,50,Senior (50-70),Male,Clothing,Spring,Nebraska,91.0,50,26,2366.0,4.7,1,1,1,1.0,1,1,1,0.8485490196078432,0.6926249999999999,High,High,1,1,S4,Promo-Habituated Spenders,Free Shipping,Venmo,0,1
80,38,Mid-Age (35-49),Male,Outerwear,Winter,Iowa,96.0,43,4,384.0,2.6,1,1,1,1.0,1,0,0,0.5298487394957982,0.5527857142857142,High,Medium,1,1,S4,Promo-Habituated Spenders,2-Day Shipping,Bank Transfer,1,0
81,19,Teen (18-24),Male,Footwear,Summer,New York,72.0,24,4,288.0,3.8,1,1,1,1.0,1,0,0,0.5095222088835534,0.4228469387755101,High,Low,0,0,S0,General Buyers,Store Pickup,Credit Card,0,1
82,67,Senior (50-70),Male,Footwear,Summer,Virginia,96.0,36,4,384.0,2.6,1,1,1,1.0,1,0,0,0.4869915966386555,0.5170714285714285,High,Medium,1,0,S4,Promo-Habituated Spenders,Express,Credit Card,1,1
83,19,Teen (18-24),Male,Clothing,Spring,Georgia,28.0,21,4,112.0,4.0,1,1,1,1.0,1,1,0,0.5071548619447779,0.2270408163265306,High,Low,0,0,S2,Promo-Dependent Buyers,2-Day Shipping,Credit Card,1,1
84,36,Mid-Age (35-49),Male,Clothing,Summer,Texas,40.0,34,52,2080.0,4.1,1,1,1,1.0,1,1,0,0.8300408163265306,0.3518673469387754,High,Low,0,0,S0,General Buyers,Standard,Bank Transfer,0,0
85,52,Senior (50-70),Male,Outerwear,Spring,Arizona,32.0,42,4,128.0,4.4,1,1,1,1.0,1,1,0,0.6677262905162065,0.3756836734693878,High,Low,0,1,S0,General Buyers,Standard,Bank Transfer,0,0
86,53,Senior (50-70),Male,Accessories,Winter,New Mexico,95.0,2,26,2470.0,4.5,1,1,1,1.0,1,1,1,0.538671468587435,0.4532270408163265,High,Medium,1,0,S4,Promo-Habituated Spenders,Next Day Air,Debit Card,1,1
87,24,Teen (18-24),Male,Clothing,Spring,Nevada,41.0,47,26,1066.0,3.7,1,1,1,1.0,1,0,0,0.7501816726690678,0.3985688775510204,High,Low,0,1,S0,General Buyers,2-Day Shipping,Cash,1,0
88,52,Senior (50-70),Male,Footwear,Fall,Ohio,53.0,44,26,1378.0,3.7,1,1,1,1.0,1,0,0,0.7318143257302923,0.4357627551020408,High,Medium,0,1,S0,General Buyers,2-Day Shipping,Debit Card,1,1
89,33,Young Adult (25-34),Male,Clothing,Fall,Wyoming,47.0,35,12,564.0,3.5,1,1,1,1.0,1,0,0,0.5920848339335734,0.351594387755102,High,Low,0,0,S0,General Buyers,Free Shipping,Credit Card,0,1
90,47,Mid-Age (35-49),Male,Outerwear,Fall,California,83.0,15,4,332.0,3.6,1,1,1,1.0,1,0,0,0.4384201680672269,0.4130535714285714,Medium,Low,1,0,S4,Promo-Habituated Spenders,Next Day Air,Cash,1,0
91,25,Young Adult (25-34),Male,Accessories,Summer,South Carolina,48.0,29,12,576.0,2.9,1,1,1,1.0,1,0,0,0.5073501400560224,0.2893571428571428,High,Low,0,0,S0,General Buyers,Express,Credit Card,1,1
92,44,Mid-Age (35-49),Male,Accessories,Winter,South Carolina,99.0,18,4,396.0,4.6,1,1,1,1.0,1,1,1,0.5367875150060024,0.558359693877551,High,Medium,1,0,S4,Promo-Habituated Spenders,Standard,Credit Card,0,1
93,61,Senior (50-70),Male,Outerwear,Winter,Texas,87.0,13,4,348.0,4.4,1,1,1,1.0,1,1,0,0.4901752701080432,0.4683494897959184,High,Medium,1,0,S4,Promo-Habituated Spenders,2-Day Shipping,Venmo,1,1
94,37,Mid-Age (35-49),Male,Clothing,Fall,Florida,62.0,46,52,3224.0,4.5,1,1,1,1.0,1,1,1,0.9355102040816328,0.5333418367346938,High,Medium,0,1,S0,General Buyers,Standard,Credit Card,0,1
95,58,Senior (50-70),Male,Clothing,Spring,Nevada,76.0,28,52,3952.0,4.6,1,1,1,1.0,1,1,1,0.8333061224489795,0.5087551020408163,High,Medium,0,0,S0,General Buyers,Free Shipping,Credit Card,0,1
96,37,Mid-Age (35-49),Male,Footwear,Fall,Missouri,100.0,48,12,1200.0,3.8,1,1,1,1.0,1,0,0,0.6956766706682672,0.6677959183673469,High,High,1,1,S4,Promo-Habituated Spenders,Free Shipping,Paypal,0,1
97,32,Young Adult (25-34),Male,Accessories,Spring,Delaware,73.0,43,4,292.0,3.8,1,1,1,1.0,1,0,0,0.6258487394957982,0.5241607142857142,High,Medium,0,1,S0,General Buyers,Express,Venmo,1,1
98,21,Teen (18-24),Male,Footwear,Winter,Virginia,92.0,37,1,92.0,4.8,1,1,1,1.0,1,1,1,0.654408163265306,0.6366734693877552,High,High,1,0,S4,Promo-Habituated Spenders,Store Pickup,Cash,0,0
99,20,Teen (18-24),Male,Clothing,Spring,New York,67.0,20,1,67.0,2.6,1,1,1,1.0,1,0,0,0.3743265306122449,0.3085637755102041,Medium,Low,0,0,S0,General Buyers,Next Day Air,Bank Transfer,1,0
100,26,Young Adult (25-34),Male,Clothing,Summer,Missouri,40.0,33,4,160.0,3.7,1,1,1,1.0,1,0,0,0.55662424969988,0.3227653061224489,High,Low,0,0,S0,General Buyers,Express,Debit Card,1,1
101,62,Senior (50-70),Male,Accessories,Fall,South Dakota,98.0,31,26,2548.0,2.7,1,1,1,1.0,1,0,0,0.5722224889955982,0.5063112244897959,High,Medium,1,0,S4,Promo-Habituated Spenders,Express,Cash,1,0
102,27,Young Adult (25-34),Male,Outerwear,Spring,North Dakota,85.0,50,26,2210.0,4.6,1,1,1,1.0,1,1,1,0.8405490196078431,0.660375,High,High,1,1,S4,Promo-Habituated Spenders,Express,Credit Card,1,1
103,51,Senior (50-70),Male,Clothing,Winter,Oklahoma,67.0,35,4,268.0,4.8,1,1,1,1.0,1,1,1,0.6568691476590636,0.5170943877551021,High,Medium,0,0,S0,General Buyers,Next Day Air,Credit Card,1,1
104,54,Senior (50-70),Male,Footwear,Winter,West Virginia,89.0,22,26,2314.0,4.0,1,1,1,1.0,1,1,0,0.6211204481792717,0.4990178571428572,High,Medium,1,0,S4,Promo-Habituated Spenders,Next Day Air,Venmo,1,1
105,55,Senior (50-70),Male,Accessories,Spring,New Hampshire,24.0,1,12,288.0,4.4,1,1,1,1.0,1,1,0,0.455921568627451,0.1315,Medium,Low,0,0,S2,Promo-Dependent Buyers,2-Day Shipping,Paypal,1,1
106,69,Senior (50-70),Male,Accessories,Fall,New York,96.0,4,1,96.0,3.6,1,1,1,1.0,1,0,0,0.3563673469387755,0.4138061224489796,Medium,Low,1,0,S4,Promo-Habituated Spenders,Next Day Air,Bank Transfer,1,0
107,64,Senior (50-70),Male,Outerwear,Summer,Minnesota,35.0,31,12,420.0,3.7,1,1,1,1.0,1,0,0,0.5835950380152062,0.2906862244897959,High,Low,0,0,S0,General Buyers,Standard,Credit Card,0,1
108,28,Young Adult (25-34),Male,Footwear,Winter,Maryland,67.0,46,26,1742.0,3.1,1,1,1,1.0,1,0,0,0.6960592236894758,0.4712168367346939,High,Medium,0,1,S0,General Buyers,Next Day Air,Paypal,1,1
109,70,Senior (50-70),Male,Clothing,Spring,Montana,79.0,32,26,2054.0,3.4,1,1,1,1.0,1,0,0,0.63434493797519,0.4702882653061224,High,Medium,0,0,S0,General Buyers,Next Day Air,Bank Transfer,1,0
110,58,Senior (50-70),Male,Clothing,Spring,Alabama,85.0,43,26,2210.0,2.6,1,1,1,1.0,1,0,0,0.6376918767507003,0.5046607142857142,High,Medium,1,1,S4,Promo-Habituated Spenders,Next Day Air,Bank Transfer,1,0
111,56,Senior (50-70),Male,Accessories,Summer,New York,26.0,26,26,676.0,4.0,1,1,1,1.0,1,1,0,0.645610244097639,0.2438010204081632,High,Low,0,0,S0,General Buyers,Standard,Venmo,0,1
112,26,Young Adult (25-34),Male,Accessories,Summer,Massachusetts,75.0,9,1,75.0,5.0,1,1,1,1.0,1,1,1,0.4989795918367347,0.4314413265306122,High,Medium,0,0,S0,General Buyers,Free Shipping,Credit Card,0,1
113,37,Mid-Age (35-49),Male,Accessories,Spring,Florida,65.0,28,26,1690.0,4.3,1,1,1,1.0,1,1,0,0.6818551420568227,0.4426301020408163,High,Medium,0,0,S0,General Buyers,Free Shipping,Paypal,0,1
114,44,Mid-Age (35-49),Male,Accessories,Winter,New Jersey,54.0,20,4,216.0,3.1,1,1,1,1.0,1,0,0,0.4290324129651861,0.2816887755102041,Medium,Low,0,0,S2,Promo-Dependent Buyers,Next Day Air,Paypal,1,1
115,70,Senior (50-70),Male,Outerwear,Summer,Massachusetts,95.0,9,52,4940.0,3.7,1,1,1,1.0,1,0,0,0.6449795918367347,0.4409413265306122,High,Medium,1,0,S4,Promo-Habituated Spenders,Store Pickup,Cash,0,0
